year,China,India,Brazil,United States,South Africa,Russia
1990,1135185000,873277799,149003225,249623000,36800507,147969407
1991,1150780000,891273202,151648007,252981000,37718952,148394216
1992,1164970000,909307018,154259382,256514000,38672611,148538197
1993,1178440000,927403866,156849086,259919000,39633754,148458777
1994,1191835000,945601828,159432717,263126000,40564061,148407912
1995,1204855000,963922586,162019889,266278000,41435761,148375787
1996,1217550000,982365248,164614682,269394000,42241007,148160129
1997,1230075000,1000900028,167209046,272657000,42987456,147915361
1998,1241935000,1019483586,169785253,275854000,43682259,147670784
1999,1252735000,1038058154,172318674,279040000,44338551,147214776
2000,1262645000,1056575548,174790339,282162411,44967713,146596869
2001,1271850000,1075000094,177196051,284968955,45571272,145976482
2002,1280400000,1093317187,179537523,287625193,46150913,145306497
2003,1288400000,1111523146,181809244,290107933,46719203,144648618
2004,1296075000,1129623466,184006479,292805298,47291610,144067316
2005,1303720000,1147609924,186127108,295516599,47880595,143518814
2006,1311020000,1165486291,188167353,298379912,48489464,143049637
2007,1317885000,1183209471,190130445,301231207,49119766,142805114
2008,1324655000,1200669762,192030362,304093966,49779472,142742366
2009,1331260000,1217726217,193886505,306771529,50477013,142785349
2010,1337705000,1234281163,195713637,309327143,51216967,142849468
2011,1345035000,1250287939,197514541,311583481,52003759,142960908
2012,1354190000,1265780243,199287292,313877662,52832659,143201721
2013,1363240000,1280842119,201035904,316059947,53687125,143506995
2014,1371860000,1295600768,202763744,318386329,54544184,143819667
2015,1379860000,1310152392,204471759,320738994,55386369,144096870
2016,1387790000,1324517250,206163056,323071755,56207649,144342397
2017,1396215000,1338676779,207833825,325122128,57009751,144496739
2018,1402760000,1352642283,209469320,326838199,57792520,144477859
2019,1407745000,1366417756,211049519,328329953,58558267,144406261
2020,1410929362,1380004385,212559409,329484123,59308690,144104080
2021,1410929362,1380004385,212559409,329484123,59308690,144104080
