id  ,country,year,GDP,Gross_Capital_Formation_Growth,Employment_Population_Ratio,Exports,Population_Growth,Energy_Use
1005,Brazil,1995,4.223793634,7.290004101,59.68,72.15855752,1.609710307,994.2898492
1005,Brazil,1996,2.208864051,0.798462505,57.88,74.08314568,1.588838302,1030.668072
1005,Brazil,1997,3.394845985,8.418114392,57.93,80.84331515,1.563731974,1066.186951
1005,Brazil,1998,0.338097902,-0.1638408,57.32,82.89031072,1.528961881,1075.199081
1005,Brazil,1999,0.467937567,-8.875302373,57.34,88.93653603,1.481109752,1083.403984
1005,Brazil,2000,4.387949444,4.813191591,57.75,100,1.424167442,1072.379544
1005,Brazil,2001,1.389896404,1.304475521,58.15,109.4393151,1.366955955,1076.275492
1005,Brazil,2002,3.053461857,-1.443774809,58.94,118.9630463,1.31274755,1090.349848
1005,Brazil,2003,1.140828999,-3.98451237,58.55,137.6390576,1.257379967,1094.424682
1005,Brazil,2004,5.759964637,8.486963397,59.75,163.8970882,1.201294141,1141.49111
1005,Brazil,2005,3.202132062,1.956300921,60.02,179.2423072,1.145884772,1156.907537
1005,Brazil,2006,3.961988709,6.66078833,60.27,185.2631076,1.090192573,1184.145121
1005,Brazil,2007,6.069870607,11.95240791,60.18,195.4489829,1.037864683,1238.411628
1005,Brazil,2008,5.094195448,12.28695792,60.82,190.6207623,0.994310572,1294.480833
1005,Brazil,2009,-0.125812003,-2.133874823,60.24,170.1248819,0.961946715,1240.177304
1005,Brazil,2010,7.528225818,17.85392143,59.73,186.3059383,0.937959307,1358.502402
1005,Brazil,2011,3.974423079,6.834046414,59.19,191.7612545,0.915965178,1367.188049
1005,Brazil,2012,1.921175985,0.778776996,59.67,191.0448686,0.893525507,1413.733385
1005,Brazil,2013,3.00482267,5.827201091,59.7,196.962359,0.873605696,1461.076774
1005,Brazil,2014,0.50395574,-4.224068653,59.64,193.3660251,0.855795964,1495.541141
1005,Brazil,2015,-3.545763393,-13.94650021,58.65,209.4169305,0.838838953,800
1005,Brazil,2016,-3.275916906,-12.12982643,56.39,216.1630581,0.823752153,800
1005,Brazil,2017,1.322869054,-2.557355557,55.84,230.8527606,0.807145245,800
1005,Brazil,2018,1.783666761,5.231758309,56.15,241.3041896,0.78384426,800
1005,Brazil,2019,1.411152985,3.364105753,56.76,236.3478881,0.751550842,800
1005,Brazil,2020,-4.059048273,-0.776685637,51.14,230,0.712872791,800
1003,China,1995,10.95395434,8,76.4,56.85936289,1.086509151,866.8343743
1003,China,1996,9.922556752,12.99464634,76.15,56.64713312,1.048141514,881.6537374
1003,China,1997,9.236779892,5.048260111,75.86,67.91726097,1.023450024,871.7563238
1003,China,1998,7.845951788,8.518410339,75.6,70.88444114,0.959550406,869.3586073
1003,China,1999,7.661651501,6.326912544,75.2,77.44729803,0.865851393,878.5245355
1003,China,2000,8.490093406,7.277174445,74.82,100,0.787956593,898.9873131
1003,China,2001,8.335733478,21.10934053,73.74,109.694188,0.726380638,928.8114337
1003,China,2002,9.13363079,13.02496843,72.67,138.6582488,0.669999568,984.8107146
1003,China,2003,10.03803048,23.79064406,71.56,182.785201,0.622860936,1118.431773
1003,China,2004,10.11362138,19.20499378,70.88,226.8347239,0.593932815,1268.132904
1003,China,2005,11.39459181,10.67470541,70.24,283.6441931,0.58812499,1393.691324
1003,China,2006,12.72095567,15.38672313,69.77,346.1719795,0.558374367,1515.173678
1003,China,2007,14.23086093,17.51052475,69.41,414.8560285,0.522271866,1630.171029
1003,China,2008,9.65067892,13.89817926,68.83,450.2958821,0.512386932,1672.90412
1003,China,2009,9.398725632,20.86683049,68.37,403.192961,0.497381401,1778.433519
1003,China,2010,10.63587106,15.87935008,68.05,516.4926068,0.482959689,1954.722556
1003,China,2011,9.550832179,8.826938372,67.86,561.8922874,0.546457595,2085.083022
1003,China,2012,7.863736449,7.502720386,67.58,596.8391727,0.678345459,2149.602569
1003,China,2013,7.766150098,9.368834224,67.34,647.4202795,0.666072978,2204.243299
1003,China,2014,7.425763656,7.472976215,67.07,684.4705832,0.63032639,2224.354898
1003,China,2015,7.041328879,3.560256259,66.76,680.590456,0.581456147,2150
1003,China,2016,6.848762205,7.239269861,66.48,690.2470659,0.573050906,2150
1003,China,2017,6.947200793,6.323959396,66.14,738.9275362,0.605245013,2150
1003,China,2018,6.749773832,6.75917008,65.76,769.440752,0.467672053,2150
1003,China,2019,5.949714233,3.985438676,65.1,784.4925731,0.35474089,2150
1003,China,2020,2.347513573,5.216835928,63.48,580,0.225947587,2150
1004,India,1995,7.57449184,7.780467349,54.91,66.92208486,1.918940659,385.0918574
1004,India,1996,7.549522249,0.909081619,54.77,75.84097375,1.895219577,389.426516
1004,India,1997,4.049820849,14.88020104,54.63,70.60393398,1.869172003,397.3781855
1004,India,1998,6.184415821,3.779183875,54.49,73.73772741,1.839658764,399.4988292
1004,India,1999,8.845755561,17.63488343,54.34,83.32738945,1.805559737,414.9624926
1004,India,2000,3.840991157,-5.525716484,54.23,100,1.76812551,417.287589
1004,India,2001,4.823966264,4.566380194,54.34,108.5010192,1.72876857,416.0144408
1004,India,2002,3.803975321,7.560400388,54.43,126.5265908,1.689561661,421.2704908
1004,India,2003,7.860381476,15.70447722,54.55,133.9342968,1.651491269,424.2943448
1004,India,2004,7.922936613,29.77298665,54.71,155.4895162,1.615308295,439.7030045
1004,India,2005,7.923430621,16.24811468,54.89,189.0376367,1.579709143,449.765857
1004,India,2006,8.060732573,13.37517259,54.17,211.2888605,1.545696439,466.1382611
1004,India,2007,7.660815065,18.14952482,53.46,242.0693463,1.509221986,485.0996287
1004,India,2008,3.08669806,-5.224140142,52.74,283.2109767,1.464889915,501.5596362
1004,India,2009,7.861888833,17.25295272,51.88,266.353924,1.410582714,544.6265973
1004,India,2010,8.497584702,14.07918387,51.15,334.7927756,1.350338314,561.6534059
1004,India,2011,5.241315001,3.940115751,50.28,384.8991163,1.288512962,577.9944263
1004,India,2012,5.456388753,4.294068919,49.44,377.9327519,1.231484894,599.1556198
1004,India,2013,6.386106401,-3.706654969,48.96,409.8935616,1.182904215,605.7940378
1004,India,2014,7.410227605,7.693622236,48.52,430.5880027,1.145673402,636.571834
1004,India,2015,7.996253786,4.729523521,48.08,422.4718463,1.116895913,700
1004,India,2016,8.256305502,3.674568081,47.64,434.3545807,1.090459321,700
1004,India,2017,6.795383419,10.83628979,47.21,461.2043143,1.06335943,700
1004,India,2018,6.532989011,9.745532657,46.79,477.8606632,1.037827848,700
1004,India,2019,4.041554187,2.282742282,46.74,491.4029668,1.013261249,700
1004,India,2020,-7.251754782,-10.10740125,43,500,0.9894138,700
1001,Russia,1995,-4.143528406,-10.8,55.62,150,-0.021648763,4290.693467
1001,Russia,1996,-3.755069439,-6.888908867,54.51,150,-0.145451547,4252.611619
1001,Russia,1997,1.399915805,-4.100187893,51.95,150,-0.165341654,4069.687292
1001,Russia,1998,-5.299961625,-45.19982732,50.31,150,-0.165486143,3981.499468
1001,Russia,1999,6.39991469,-6.600615067,53.18,150,-0.309278192,4136.751144
1001,Russia,2000,10.00006682,75.20112892,54.7,100,-0.42061499,4224.277198
1001,Russia,2001,5.100051225,16.69953247,54.52,101.8927465,-0.424090525,4288.382631
1001,Russia,2002,4.699991909,-2.599700126,55.69,111.5490764,-0.460024258,4288.193851
1001,Russia,2003,7.299952345,14.30002606,55.18,125.721056,-0.453780668,4461.30532
1001,Russia,2004,7.19994787,12.20026651,55.81,139.0062271,-0.402681471,4493.687215
1001,Russia,2005,6.399965448,9.499917436,56.56,146.5760373,-0.381452795,4540.908156
1001,Russia,2006,8.200068255,17.70004408,56.85,153.3619225,-0.32744527,4688.391023
1001,Russia,2007,8.499977768,21.99981274,58.28,160.4423709,-0.171082033,4709.844887
1001,Russia,2008,5.199969265,10.49993335,58.57,158.5015114,-0.043949259,4823.125995
1001,Russia,2009,-7.799993913,-41.00004386,57.29,155.1983556,0.030107761,4531.286463
1001,Russia,2010,4.5,28.49973669,57.84,166.4846243,0.044895788,4819.040782
1001,Russia,2011,4.300029186,20.99997589,58.59,163.2244963,0.077981777,5049.426631
1001,Russia,2012,4.024086157,5.541933339,59.29,162.883752,0.168305035,5167.010353
1001,Russia,2013,1.755422149,-5.154850269,59.17,167.8162736,0.212950705,5078.626342
1001,Russia,2014,0.736267221,-6.384930915,59.39,169.4244367,0.217642262,4942.875483
1001,Russia,2015,-1.972719226,-11.74313147,59.14,180.5162551,0.192557947,4000
1001,Russia,2016,0.193690072,-0.639176708,59.28,187.5903055,0.170245239,4000
1001,Russia,2017,1.825790064,6.409621006,59.08,194.7974436,0.106870569,4000
1001,Russia,2018,2.80724541,-1.591194251,59.23,203.7283367,-0.013066892,4000
1001,Russia,2019,2.032982739,3.25461219,58.66,197.6251167,-0.049568665,4000
1001,Russia,2020,-2.951273899,-1.9733488,57.62,150,-0.209476797,4000
1006,South Africa,1995,3.100000001,14.22940742,39.34,75.52646117,2.12618227,2498.893625
1006,South Africa,1996,4.299999997,1.027630595,39.2,84.74886449,1.924717883,2504.903115
1006,South Africa,1997,2.600000001,2.944509071,39.09,91.57877941,1.751687313,2527.940174
1006,South Africa,1998,0.5,3.340042133,39.01,85.36310283,1.603369493,2471.477036
1006,South Africa,1999,2.399999997,-3.129855546,38.87,89.0733292,1.491247723,2464.32336
1006,South Africa,2000,4.200000001,3.512802321,38.82,100,1.409021901,2424.881292
1006,South Africa,2001,2.7,0.478586917,38.3,101.8600868,1.333277462,2461.026477
1006,South Africa,2002,3.700374404,8.895937859,36.8,99.88316427,1.263922608,2384.137081
1006,South Africa,2003,2.949075468,11.44103302,37.31,98.31212299,1.223853523,2518.332793
1006,South Africa,2004,4.554559907,15.97665462,38.88,103.8024532,1.217762203,2716.293461
1006,South Africa,2005,5.277051973,6.483119891,39.1,108.8373385,1.237740618,2678.554224
1006,South Africa,2006,5.603806459,12.76722114,39.56,111.9021792,1.263622972,2625.794791
1006,South Africa,2007,5.360474054,8.629502855,40.65,122.5868169,1.291498275,2775.615258
1006,South Africa,2008,3.191043886,8.798257207,43.1,129.5951142,1.334117023,2950.15361
1006,South Africa,2009,-1.538089135,-8.421635857,41.25,101.5865305,1.391535432,2852.095448
1006,South Africa,2010,3.039732881,0.764004963,39.53,122.6211365,1.455281933,2768.094507
1006,South Africa,2011,3.168556279,11.73235673,39.59,129.4935,1.524514056,2716.681173
1006,South Africa,2012,2.396232385,-0.715529289,39.93,126.6397748,1.581353673,2636.684726
1006,South Africa,2013,2.485468008,5.004439456,40.53,132.7364195,1.604367369,2602.845598
1006,South Africa,2014,1.413826452,-3.22085533,40.6,137.1072749,1.583787396,2695.505776
1006,South Africa,2015,1.321862237,4.00533113,41.45,142.8619585,1.532242773,2300
1006,South Africa,2016,0.664552308,-8.385812643,40.79,141.7059987,1.471933429,2300
1006,South Africa,2017,1.157946952,2.976410677,40.99,144.2538,1.416947254,2300
1006,South Africa,2018,1.487617373,-0.696577823,40.93,147.4209256,1.363703216,2300
1006,South Africa,2019,0.113053697,-0.408032219,40.12,142.4716299,1.31629201,2300
1006,South Africa,2020,-6.431974826,-24.73052552,36.69,100,1.273356263,2300
1002,United States,1995,2.684217275,2.864560865,62.11,69.33152518,1.190787091,7763.755106
1002,United States,1996,3.772565502,7.591727651,62.4,73.15375868,1.16341162,7844.468266
1002,United States,1997,4.381775174,9.481793453,63.01,80.10629007,1.203960297,7828.581096
1002,United States,1998,4.481407561,8.660396357,63.31,84.16506632,1.165714526,7803.697605
1002,United States,1999,4.753235983,7.951287976,63.56,87.53119814,1.148340047,7923.223893
1002,United States,2000,4.127484017,6.097963354,63.77,100,1.112768997,8056.86385
1002,United States,2001,0.998340792,-3.99244469,62.92,93.99704812,0.989741382,7827.886325
1002,United States,2002,1.741695251,0.472452386,61.9,90.26618336,0.927797486,7843.344849
1002,United States,2003,2.861210768,4.131582653,61.39,92.97034415,0.859481713,7794.23553
1002,United States,2004,3.798891125,7.824860015,61.43,100.5935252,0.925483969,7881.578642
1002,United States,2005,3.513213799,5.609039186,61.74,107.8016475,0.921713167,7846.499688
1002,United States,2006,2.854972294,3.057204552,62.14,118.5289836,0.964253917,7697.652535
1002,United States,2007,1.876171454,-1.619300781,61.97,126.4805466,0.951055243,7758.165986
1002,United States,2008,-0.136579803,-6.213792223,61.21,133.7545021,0.945865287,7488.081921
1002,United States,2009,-2.536757067,-16.59589497,58.36,115.0409063,0.876651299,7056.783653
1002,United States,2010,2.56376656,10.45754258,57.45,132.8249833,0.829616675,7161.426552
1002,United States,2011,1.550835505,4.218059544,57.36,142.5555709,0.726786705,7029.954601
1002,United States,2012,2.249545852,7.662970984,57.96,148.0756246,0.733599941,6872.027284
1002,United States,2013,1.842081071,4.665742553,57.89,151.8910979,0.692860277,6905.598633
1002,United States,2014,2.525973446,4.394881094,58.36,156.6522112,0.73336152,6960.683997
1002,United States,2015,3.07551465,5.047991243,58.73,155.0967981,0.736217309,6803.996607
1002,United States,2016,1.711426774,-0.473252555,59.13,154.7712254,0.724676067,6800
1002,United States,2017,2.332679395,3.746795429,59.58,161.0373425,0.632643995,6800
1002,United States,2018,2.996464352,5.104677008,59.89,167.6972224,0.526435396,6800
1002,United States,2019,2.161176515,3.327353189,60.27,166.9141484,0.455381286,6800
1002,United States,2020,-3.642013879,-3.956448353,56.31,160,0.350911063,6800
