Year,India,Brazil,China,Russia,United States,South Africa
1980,119.26,138.3018,285.474, -   ,2289.600364,93.073
1981,131.12,140.1522,294.017, -   ,2297.973338,106.932
1982,139.41,150.02646,311.758, -   ,2244.372487,111.915
1983,144.987,160.45232,334.636, -   ,2313.445686,113.87
1984,161.739,178.0967,358.72, -   ,2419.465367,127.395
1985,174.93,190.67138,390.678, -   ,2473.00212,133.236
1986,191.896,199.24174,427.349, -   ,2490.470952,138.274
1987,208.235,200.44982,472.472, -   ,2575.287667,142.01
1988,229.432,211.77926,517.849, -   ,2707.411178,148.132
1989,255.104,218.29374,555.538, -   ,2967.175412,153.39
1990,275.495,219.95256,590.346, -   ,3037.860718,156.007
1991,300.311,231.43902,643.116, -   ,3073.836155,158.861
1992,315.973,238.84014,716.04,965.246,3083.923186,157.079
1993,339.346877,249.251122,795.733,914.255,3197.236033,163.268
1994,366.118,256.895752,880.411,807.727,3247.572715,170.705
1995,396.074,272.19787,956.307,815.158,3353.544899,176.051
1996,412.682,287.65529,1005.499,804.127,3444.253726,186.188
1997,441.169,304.27491,1070.225,793.875,3492.246303,195.063
1998,470.765,317.81987,1103.697,786.491,3620.379229,191.041
1999,504.536,329.68948,1172.261,798.773,3694.907219,188.49
2000,537.652,342.57352,1280.613,831.303,3802.215539,195.82886
2001,556.822982,323.16798,1426.677,840.707,3736.777243,196.28928
2002,576.501,340.29716,1584.671,844.462,3858.610597,203.2381
2003,614.472,358.89562,1810.261,866.45,3883.370104,217.20568
2004,644.833,381.18166,2103.526,883.696,3970.784322,227.5277
2005,675.277,395.72128,2373.002,899.29476,4055.766383,227.92804
2006,728.494,411.92528,2716.712,939.91668,4065.20341,235.4471
2007,775.893,437.18658,3108.028,958.37694,4157.45232,245.56207
2008,803.85,454.67754,3297.471,982.52281,4120.524995,239.68607
2009,866.998,458.66574,3527.342,937.7736,3951.85948,230.64077
2010,916.49978,506.74832,3984.01962,980.89724,4127.470567,241.98442
2011,1006.52332,523.1198,4461.70656,996.81741,4103.966251,243.45328
2012,1053.69318,542.89456,4735.54358,1012.29348,4053.916264,239.86204
2013,1154.16991,559.37072,5170.65702,1001.77926,4074.095615,237.48478
2014,1258.036,577.73988,5391.39056,1005.6943,4104.838664,235.48395
2015,1325.002,568.68376,5561.81386,1008.35494,4091.740206,230.41804
2016,1401.1,567.96262,5884.17654,1031.31406,4095.487355,234.01529
2017,1476.676,577.48181,6286.20732,1034.43282,4058.260842,235.72028
2018,1539.009,591.08532,6801.93262,1044.92822,4207.816619,234.68152
2019,1503.785712,614.54178,7224.89564,1060.58342,4162.812661,231.84887
2020,1452.235,622.00634,7601.217,1027.46206,4050.824936,223.20996
