id,year,country,safe_water_access,elec_gen_kwh,logistics_index 
1002,2015,United States,96.41326821,4091.740206,3.92
1002,2016,United States,96.59863984,4095.487355,3.99
1002,2017,United States,96.78265168,4058.260842,3.99
1002,2018,United States,96.96518791,4207.816619,3.89
1002,2019,United States,97.14624349,4162.812661,3.89
1002,2020,United States,97.32571774,4050.824936,4.14
1004,2015,India,50.74885582,1325.002,3.08
1004,2016,India,50.9,1401.1,3.42
1004,2017,India,51.9,1476.676,3.42
1004,2018,India,52.09,1539.009,3.18
1004,2019,India,55.08,1503.785712,3.18
1004,2020,India,56.07462388,1452.235,3.45
1003,2015,China,99.97958333,5561.81386,3.53
1003,2016,China,99.97916667,5884.17654,3.66
1003,2017,China,99.97875,6286.20732,3.66
1003,2018,China,99.97833333,6801.93262,3.61
1003,2019,China,99.97791667,7224.89564,3.61
1003,2020,China,99.9775,7601.217,3.88
1005,2015,Brazil,81.97630358,568.68376,2.94
1005,2016,Brazil,82.69040002,567.96262,3.09
1005,2017,Brazil,83.52582053,577.48181,3.09
1005,2018,Brazil,84.2947419,591.08532,2.99
1005,2019,Brazil,85.06008273,614.54178,2.99
1005,2020,Brazil,85.76566655,622.00634,2.99
1006,2015,South Africa,81.0566518,230.41804,3.43
1006,2016,South Africa,82.4836684,234.01529,3.78
1006,2017,South Africa,82.45704604,235.72028,3.78
1006,2018,South Africa,83.43006112,234.68152,3.38
1006,2019,South Africa,83.89394803,231.84887,3.38
1006,2020,South Africa,84.25422429,223.20996,3.69
1001,2015,Russian Federation,75.65238723,1008.35494,2.69
1001,2016,Russian Federation,75.73632103,1031.31406,2.57
1001,2017,Russian Federation,75.82369995,1034.43282,2.57
1001,2018,Russian Federation,75.91418623,1044.92822,2.76
1001,2019,Russian Federation,76.00770611,1060.58342,2.76
1001,2020,Russian Federation,76.10420617,1027.46206,3.04
